word_count,lead_paragraph,headline,abstract,locations,section,snippet,source,subjects,url,desk,date,type,id
606,wall street rose on the last day of joining global stock markets that were closing out at or near record highs,s p up in year in biggest increase since ,,[],Business Day,wall street rose on the last day of joining global stock markets that were closing out at or near record highs,The New York Times,[u'Stocks and Bonds'],http://www.nytimes.com/2014/01/01/business/daily-stock-market-activity.html,Business,2014-01-01,News,52c2dee9798810026f4af2ec
1374,the conflict in south sudan is rooted partly in failure to achieve lasting reconciliation between rival factions when the country was created in ,old rivalries reignited fuse in south sudan,analysts warn that conflict in south sudan is rooted partly in failure to achieve lasting reconciliation between rival factions when country was created in instead of governing through strong institutions many power brokers and generals still essentially command their own forces their loyalties to government often determined by their cut of national oil revenues,"[u'South Sudan', u'Bor (South Sudan)']",World,the conflict in south sudan is rooted partly in failure to achieve lasting reconciliation between rival factions when the country was created in ,The New York Times,[],http://www.nytimes.com/2014/01/01/world/africa/old-rivalries-reignited-a-fuse-in-south-sudan.html,Foreign,2014-01-01,News,52c378867988104830de73c3
704,russia retained the title of the world top oil producer with output reaching post soviet high as rising exports to china and strong prices allow the kremlin to maintain record spending from an overstretched budget,rise in russian oil output supports overstretched budget,,[],Business Day,russia retained the title of the world top oil producer with output reaching post soviet high as rising exports to china and strong prices allow the kremlin to maintain record spending from an overstretched budget,Reuters,[],http://www.nytimes.com/reuters/2014/01/02/business/02reuters-russia-oil.html,,2014-01-02,News,52c569de79881008cc6f1fdf
131,it was sour start to for the stock market,after year of stock records weak start to ,,[],U.S.,it was sour start to for the stock market,AP,[],http://www.nytimes.com/aponline/2014/01/02/us/ap-us-wall-street-close.html,,2014-01-02,News,52c5d7b8798810483bc5c758
137,the stock market started the new year on sour note,how the dow jones industrial average did thursday,,[],Business Day,the stock market started the new year on sour note,AP,[],http://www.nytimes.com/aponline/2014/01/02/business/ap-us-wall-street-box.html,,2014-01-02,News,52c5ecd0798810483bc5c777
293,major stock gauges declined on thursday on light trading which analysts attributed to continued holiday vacations,after robust shares open year with decline ,stocks decline on light post holiday trading as declines in energy and technology shares weigh on market,[],Business Day,major stock gauges declined on thursday on light trading which analysts attributed to continued holiday vacations,The New York Times,[u'Stocks and Bonds'],http://www.nytimes.com/2014/01/03/business/daily-stock-market-activity.html,Business,2014-01-03,News,52c5830779881008cc6f2014
608,after last year big party in the stock market is starting off with nagging hangover,sp starts with day decline,,[],U.S.,after last year big party in the stock market is starting off with nagging hangover,AP,[],http://www.nytimes.com/aponline/2014/01/03/us/ap-us-wall-street.html,,2014-01-03,News,52c6c101798810483bc5c968
501,the price of oil extended week long plunge friday falling percent to below barrel as rebounding us economy drove the dollar higher and signs continue to emerge that there is an ample supply of crude worldwide,crude extends plunge ends below ,,[],Business Day,the price of oil extended week long plunge friday falling percent to below barrel as rebounding us economy drove the dollar higher and signs continue to emerge that there is an ample supply of crude worldwide,AP,[],http://www.nytimes.com/aponline/2014/01/03/business/ap-oil-prices.html,,2014-01-03,News,52c6c27f798810483bc5c96c
690,if the medicine tastes bad it probably doing you good emerging economies might console themselves with that thought when they re suffering market cramps and hemorrhaging capital as the us ends its monetary stimulus,analysis fed bitter medicine may help heal emerging markets,,[],Business Day,if the medicine tastes bad it probably doing you good emerging economies might console themselves with that thought when they re suffering market cramps and hemorrhaging capital as the us ends its monetary stimulus,Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-emerging-reforms-analysis.html,,2014-01-03,News,52c6cb90798810483bc5c97a
527,stocks were mixed on friday after bad first day of the year while crude oil futures pushed lower,samp p starts the year on losing streak,stocks are mixed after first bad day of while crude oil futures push lower,[],Business Day,stocks were mixed on friday after bad first day of the year while crude oil futures pushed lower,The New York Times,[u'Stocks and Bonds'],http://www.nytimes.com/2014/01/04/business/daily-stock-market-activity.html,Business,2014-01-04,News,52c6d04c798810483bc5c97f
1444,widespread optimism about the stock market the economy and corporate profits but pessimism when it comes to the bond market,two who got right see as much the same,james stewart common sense column says that market forecasters say will see much of same as which was banner year for stocks and rocky one for bonds points to widespread optimism about stock market economy and corporate profits but pessimism when it comes to bond market,[],Business Day,widespread optimism about the stock market the economy and corporate profits but pessimism when it comes to the bond market,The New York Times,"[u'United States Economy', u""Standard & Poor's 500-Stock Index"", u'Stocks and Bonds']",http://www.nytimes.com/2014/01/04/business/2014-is-looking-a-lot-like-2013.html,Business,2014-01-04,News,52c6e77a798810483bc5c9ca
