words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
market stock crude yesterday year trade newyork barrel drop heat	0.205677387486	0.0718622914552	0.222259793689	0.0850284934015	0.0392905131012	0.0522613897259	0.072334206618	0.0744110349737	0.0591457664511	0.121363760783	0.100838552138	0.104766926021	0.113216415112	0.122717280261	0.147871471644	0.16433612118	0.123335987605	0.142271873992	0.148915554798	0.138809186161	0.202454398738	0.204691709061	0.199614771172	0.276338090583	0.264647746435	0.36537891033	0.390660249816	0.314333345672	0.158551856662	0.113602055092	0.120843061614	0.114561244279	0.158424830227	0.164614923756	0.139318202448	0.130089436716	0.104626981244	0.167506617054	0.175973835183	0.161672794023	0.134015432665	0.137047840794	0.102399141759	0.109563040067	0.186916123871	0.121099703859
compani energi year market world iran intern nation unit state	0.0852568126356	0.0112208482768	0.0532510317087	0.027279768493	0.0363841103513	0.0336087314164	0.052613303228	0.0651542975978	0.0922389886575	0.0958372810505	0.0931741316497	0.0597114156402	0.0676021761974	0.0374887411519	0.0516941234404	0.0649370615821	0.0657785888982	0.117808955592	0.107583102803	0.104187744315	0.059472541858	0.0447434902402	0.0542910822104	0.0383160302076	0.0622528791432	0.0508821882128	0.0309705237772	0.0628535742944	0.0777927145338	0.0617454332069	0.0337838938074	0.0422309760925	0.0421137749294	0.0442598620893	0.0297536077558	0.0410984313596	0.0465032156693	0.0349023212182	0.0506691408537	0.0539927937624	0.0763003656342	0.0630128261032	0.0751751279367	0.0658674217186	0.0346205315232	0.0476778694967
iraq state unit arab news nation war energi gulf year	0.0845190590724	0.205209396385	0.123712207256	0.251761709177	0.191359303771	0.137379236169	0.142191122667	0.147181002423	0.14955892794	0.0946029679245	0.0857180147139	0.0971234999693	0.0461598077095	0.0510341347437	0.0483504092151	0.0309922036805	0.0489589810876	0.069145930921	0.0670367400979	0.0420541490138	0.152797129831	0.14465096264	0.0464161290799	0.0393172071458	0.0413318949936	0.0277318917573	0.0609728363247	0.0582304239174	0.0575705152802	0.0846916207676	0.0615467637209	0.0880093542273	0.145067102114	0.112454466249	0.0776782778933	0.035076619415	0.0623870659403	0.0653842159846	0.0560440286079	0.0519952461698	0.0476416373184	0.0925027087592	0.093488662848	0.06150610359	0.0517268110855	0.0468186057682
bank rate dollar inflat econom countri interest nation world economi	0.0786002395467	0.172434327433	0.0682597073541	0.16674387151	0.293351962679	0.232617115554	0.195084981156	0.16125558612	0.232844164998	0.165337103822	0.141168963227	0.0850750740426	0.0960872826616	0.121411622169	0.0885176027796	0.0881986680432	0.11645719764	0.0721078668156	0.056976806902	0.0800429996691	0.0786572543546	0.0621410907553	0.050378867696	0.0417688276284	0.0490871669191	0.0351814582056	0.0201334140502	0.0359962564098	0.058376810328	0.082739936868	0.0685433065435	0.0867341634525	0.0785442674467	0.081218278761	0.06044435102	0.0680246785069	0.0698897138257	0.0725729414249	0.0904750541306	0.0696863015526	0.096259617459	0.0911518579853	0.0809213897324	0.0775889175639	0.127416457856	0.16915673167
year million world economi cost ga produc countri debt govern	0.076546285174	0.0879159524189	0.0694183002734	0.0644351330404	0.0584427116425	0.0604444553545	0.0594935219785	0.057786051499	0.0388495567074	0.0491816146034	0.0632230554739	0.0475793554163	0.0546153571762	0.0457313397117	0.0380185073448	0.0474487396195	0.0418138051473	0.0525927414369	0.040528361442	0.0476565444489	0.0482548878053	0.0510822391247	0.0451000663926	0.0308334955355	0.0426112965021	0.0347258100709	0.0268310412141	0.0361157697374	0.0465548581677	0.0428583788658	0.0500867289033	0.0268436055625	0.0230789623072	0.0411196988744	0.0232478064609	0.0360233955276	0.0480944380136	0.0326400520189	0.0603918658194	0.0617131919483	0.0430673188762	0.0436543845643	0.0506194147888	0.0670463689057	0.0473312398036	0.0708560749489
presid tax energi russia econom year state economi hous cut	0.192677849656	0.16554668323	0.103220559521	0.197353919612	0.187594287932	0.27584003026	0.178214258879	0.226113543772	0.180102639013	0.215150854797	0.180895212731	0.179222291412	0.105014143364	0.110855876247	0.0946781875568	0.0861923661274	0.108566862386	0.0787598868111	0.0709520931686	0.0732940951196	0.085163533934	0.0782908590767	0.157588180671	0.0652877779585	0.0468426590552	0.0378905236544	0.0453633541568	0.0226331790459	0.108039310047	0.0781089400901	0.208766602079	0.136898478908	0.109265964929	0.111063763694	0.115961395358	0.0813127893157	0.093742574747	0.126336916319	0.146018176416	0.0957529211913	0.104394007244	0.125059023563	0.185351202705	0.117752682499	0.124692650922	0.0873397541353
dow compani point industri stock year time jone averag market	0.0152094933082	0.0151736736335	0.0149805872088	0.00741378610122	0.0236705507228	0.026886463463	0.0345158428821	0.0323418943655	0.0276987040379	0.0364933888322	0.0401866994113	0.0378422090723	0.0382262657829	0.0539447036619	0.0381706010884	0.0372987236291	0.0380261030558	0.0463996449838	0.0491419412312	0.0578927572702	0.0600661679587	0.0776540940958	0.0702940051262	0.0732843060481	0.0704149413523	0.0677849800062	0.0692579294391	0.0608641594959	0.0536558633742	0.0593934180278	0.0687754891525	0.0646088908409	0.05760476083	0.0588232526523	0.0645668483421	0.116017547674	0.0926095219494	0.0699872533664	0.0685604104504	0.0538863659553	0.0799715519433	0.0742777328174	0.0497103062173	0.0907360587844	0.0373274771982	0.0342746716005
year report rate market rise quarter economi rose trade stock	0.18237601667	0.128993246815	0.186736765409	0.0801626332554	0.0569413805775	0.0636368667845	0.110474688922	0.0683393812178	0.088934646337	0.0889492971054	0.102530744204	0.165211991001	0.177655417614	0.175769768741	0.225612339211	0.222166718775	0.238308405804	0.218944267929	0.230216429764	0.245886915251	0.195517351634	0.208274179501	0.207313967994	0.243258667555	0.235416116396	0.229383277027	0.262950751501	0.309937314222	0.220458901917	0.285800030918	0.22798922016	0.159637006442	0.203682752518	0.222685594368	0.3078633082	0.299621927498	0.269205522639	0.284466407451	0.174433379537	0.269894930397	0.189096768511	0.210872667316	0.18675823115	0.188177507349	0.221603558736	0.258927150943
opec countri export barrel product petroleum organ cut meet minist	0.0531328514024	0.0761930897615	0.0860243415602	0.0714244216161	0.0711457126818	0.0699807957876	0.110371919396	0.115002323128	0.0822524704388	0.0808860352014	0.114821649939	0.134727588245	0.145309304332	0.15395385539	0.145440798837	0.14354834184	0.0906610272324	0.0907237171792	0.129775287156	0.104733898625	0.0488721239031	0.0514663983486	0.0795511941267	0.0903461481722	0.0402975968035	0.0277251300353	0.0322256768084	0.0228834949486	0.0558331674334	0.067275715367	0.0730959317355	0.149369485967	0.0843445032186	0.0796838674542	0.0564376332993	0.0390967440092	0.0461065822513	0.0365636368196	0.0463167194629	0.040933685326	0.0302026353717	0.0484041521403	0.0451268232163	0.0579775995825	0.0915024805263	0.0748459760749
compani year ga million energi state industri plan execut american	0.0260040050486	0.0654504905907	0.0721367060197	0.0483962637932	0.041819466541	0.0473449154851	0.0447061542737	0.0524148849033	0.0483741354197	0.0521976958803	0.0774429765135	0.0887396491795	0.15611383005	0.127092677922	0.121645958884	0.114881055524	0.128093041144	0.111245114339	0.098873682638	0.105441710128	0.0687446099825	0.0770049771564	0.0894517355311	0.101249449167	0.1470977024	0.123315830701	0.0606342229125	0.0761524822571	0.163166002256	0.123784470796	0.0865690022835	0.131106794228	0.097873081481	0.0840762921013	0.124728569223	0.153638429978	0.16683438372	0.109639638343	0.13111738954	0.140471769675	0.199050664976	0.114016805957	0.130449699647	0.163784299939	0.0768626684782	0.089003461503
