words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
bank rate reserv inflat economi central econom interest energi fed	0.039156009811	0.0359811688112	0.0298919896688	0.0648860321984	0.0548429856005	0.0691655742288	0.0604394460396	0.0534999993762	0.0349347494655	0.0586329284265	0.0816862220785	0.0394889362313	0.0552203493891	0.0615534988779	0.0585103343343	0.0506016773668	0.0547117596775	0.0435333390179	0.0391063100326	0.0504208987999	0.05230521003	0.0440581781455	0.0345908861322	0.0286221398578	0.042769873364	0.0228601797714	0.0113780252513	0.0216747817798	0.0533819794629	0.0648626963884	0.0807115100888	0.0822114730947	0.0903110248816	0.0675847237841	0.0599670495189	0.0635368386825	0.0773790845576	0.0692238469445	0.0921905008068	0.0694995646297	0.0849419623447	0.0983719012627	0.0995177903051	0.0973721296245	0.134454211326	0.189445089736
world tax presid iran econom polici econ state inflat plan	0.146974476757	0.30913706199	0.132028802979	0.248239919467	0.384390904709	0.329797915114	0.275214120387	0.229073486046	0.282659080941	0.175081954545	0.148414531124	0.132433656975	0.0749224877184	0.0854721391639	0.0771336473432	0.0585435882048	0.0727463960054	0.0683986337512	0.0631129439819	0.0502378036959	0.0627702325145	0.0677145067414	0.0530105032689	0.0396970697058	0.0335555289116	0.0409706159315	0.0383804089226	0.0314845164997	0.0640109980233	0.0810096731434	0.0623359822626	0.0547463261968	0.102280962976	0.0706218289412	0.0604365391636	0.0469753784507	0.0808709440443	0.0857741154385	0.0660279792562	0.0709481196732	0.0654753148619	0.0793892266573	0.131857217355	0.125218654032	0.0411526593065	0.0570028732536
crude barrel market futur cent suppli gasolin commod heat newyork	0.267739639073	0.170749560253	0.232481606582	0.0838347169122	0.0317039674307	0.0331878327491	0.0515054429854	0.0689992320554	0.0604842460959	0.102370621491	0.111906030675	0.0855293048721	0.0841474987902	0.0667035701052	0.127877393161	0.134366958956	0.0774402119841	0.141375241368	0.168974319886	0.152305128133	0.124901561918	0.137667670586	0.185858310438	0.232351836001	0.275547560493	0.396881015908	0.386648973289	0.241942852532	0.093988230511	0.0879598826893	0.0842676555096	0.0733093839904	0.115382177647	0.1081252095	0.105491018493	0.0836341579678	0.0581566612523	0.0741331076783	0.075808136396	0.0663449615373	0.053882210059	0.0763204061608	0.0557200861371	0.0482153304221	0.100895553022	0.0840178220597
opec product export meet cut petroleum minist organ barrel produc	0.0913494770876	0.158810215806	0.158030074949	0.170323735149	0.144675932238	0.134851045756	0.166016394948	0.170985127653	0.137755324008	0.10197568616	0.14201831533	0.160831553252	0.15679255947	0.178332259263	0.157556928709	0.147420264684	0.108271013969	0.0950670073125	0.136015810801	0.10399481125	0.0635256381544	0.0716759666993	0.0835931020734	0.0927130798801	0.0399084996414	0.0285079878294	0.0276102981583	0.0310394241244	0.0587850807208	0.0677027143517	0.0745423387461	0.149148289199	0.0832231664345	0.0791554811249	0.0521092978087	0.036938059436	0.0461713050243	0.0361119696103	0.0407426761269	0.0464337822279	0.0189976412832	0.0488226742466	0.0374057663464	0.0470501696649	0.0679034724414	0.0520741626303
energi state govern nation intern presid plan bank fund unit	0.0242065536355	0.0503068219273	0.0354798009596	0.0829699453421	0.0881943002586	0.0866096708013	0.100815359813	0.118920976167	0.0745499525631	0.10585476424	0.107331715274	0.139570017443	0.136513514425	0.137297660012	0.109808259564	0.105935086767	0.126197580391	0.134941066374	0.114372841476	0.159029821138	0.083381057261	0.0873202481364	0.125169225953	0.104621144372	0.12578195673	0.100884455522	0.0826073492756	0.0649558829092	0.0911423247221	0.0861284911096	0.178969562693	0.13805033305	0.127022490154	0.108184803266	0.141315745497	0.166844543924	0.150132059265	0.135056134582	0.139656598901	0.118918561157	0.131944098546	0.141499207353	0.143395350614	0.177839297592	0.0693477883861	0.0689047670835
trade export deficit ga import growth economi world econom state	0.041478375688	0.0444634276714	0.0245709093836	0.046044318578	0.0462763498163	0.0520900812489	0.0558392182098	0.0686461377295	0.0778552359818	0.0743799188343	0.079515379931	0.0617512474589	0.0628737310528	0.0459908350179	0.0412018575367	0.0427682623656	0.0609041957251	0.0696429353982	0.0517335767914	0.0671223879011	0.0743261609348	0.0669099434415	0.0611110492689	0.0417974625187	0.0335447143222	0.0304575852349	0.0409192074314	0.0507576323856	0.0556007297454	0.0639984222391	0.0628288889916	0.0791791002354	0.0568387560257	0.10648263622	0.0925461295849	0.0724319301859	0.0728863786396	0.0716343504091	0.071135109092	0.0835049203086	0.0734819791439	0.0827166211496	0.0942349562582	0.111289643517	0.0959033715118	0.100611779527
quarter report profit economi rate earn compani sale growth corpor	0.0551476733623	0.0206139164238	0.0607276219773	0.0377195436651	0.0405760905877	0.0428006115088	0.0410044930596	0.0399801221984	0.0527564050739	0.0585895228641	0.0800733107561	0.137764160097	0.184908221269	0.137894373886	0.163350565162	0.14828855098	0.175259502949	0.143866322567	0.128448936066	0.166681443495	0.126988894796	0.191050894515	0.170574490654	0.173738223508	0.177982553448	0.148877780359	0.121113148409	0.219581594801	0.247692563018	0.231268757505	0.156283304387	0.135867722269	0.145796764609	0.170872703729	0.167893137061	0.195681339696	0.160719459854	0.161221393609	0.131352070759	0.164190159417	0.232583387972	0.194543650786	0.175606212393	0.154038176165	0.125563671999	0.18780688126
stock market rate dow investor bond index point trade gain	0.0918095905392	0.0563911652861	0.128303265486	0.056817488741	0.0385913625967	0.0525818170626	0.0892595742806	0.0408896115521	0.0761797535881	0.0870934729445	0.0642525060218	0.0837602793275	0.107925541	0.146123638522	0.14220011527	0.164528628684	0.184414847429	0.179649451731	0.171218283232	0.146997345791	0.201743950695	0.132745519651	0.116467520064	0.199250863473	0.184993430209	0.15676094099	0.184828383767	0.241115970466	0.192136020877	0.187317564437	0.142786418624	0.130768863477	0.111092504001	0.130226248802	0.210200239493	0.23599157136	0.229880756186	0.240928944359	0.194260339285	0.255112156199	0.157808010965	0.131443702237	0.108222799196	0.145819275497	0.201816273231	0.14553498677
energi gasolin increas bill hous cost senat ga presid consum	0.196073156813	0.115006219831	0.157933559367	0.171609678037	0.117597765718	0.149695907047	0.125114441281	0.171497035823	0.10856096013	0.15375351368	0.126244592634	0.103531659554	0.077917844927	0.072869181881	0.0574457741324	0.0630101858021	0.0476409858426	0.0510539688127	0.0559663197227	0.0522111417403	0.0500165213724	0.0348773600864	0.0529642032169	0.0277827448341	0.0277612774926	0.0331485700747	0.035892970243	0.0272105481931	0.038587817997	0.0334246442837	0.088477302478	0.0643930221753	0.0353922859928	0.038210159509	0.0535740062437	0.0601014651755	0.0613605617383	0.0739567163332	0.102579428604	0.0423636488947	0.105839906402	0.0781112119956	0.0854769086176	0.0502567542132	0.0316737120576	0.0370639439364
dollar gold russia state bank market currenc iraq unit presid	0.0460650472336	0.0385404419996	0.0405523686482	0.0375546219109	0.0531503410441	0.0492195444834	0.0347915089952	0.0375082713996	0.094264292152	0.0822676168146	0.0585573961749	0.0553391847882	0.0587782519583	0.0677628432708	0.0649151247866	0.0845367961903	0.092413506027	0.0724720336667	0.0710506580097	0.0509992180542	0.160040772324	0.165979711998	0.116660708931	0.0594254358498	0.0581546053879	0.0406508683785	0.0706212352534	0.0702367963097	0.104674254922	0.0963271538535	0.0687970362189	0.0923254863119	0.132659867277	0.120536205124	0.0564668371362	0.0378647151214	0.0624427894394	0.0519594210363	0.0862471607729	0.082684125955	0.0750454884218	0.0687813981513	0.0685629127776	0.042900569272	0.131289286718	0.0775376937434
