words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
nations world president economic united states countries econ war arab	0.151087873185	0.181213602122	0.102653389652	0.230799121242	0.34724741825	0.311930694713	0.22196258551	0.196528277325	0.233845032837	0.148641170045	0.139491812336	0.100854722259	0.0655958898053	0.0752928620626	0.0545367060753	0.0372582928767	0.0710897342443	0.0424965337347	0.0373243137395	0.0264590153348	0.0887530926418	0.0777652886088	0.0522407845451	0.0227804925168	0.0239192759474	0.0196184034319	0.0280316865025	0.0289772944849	0.0465486939221	0.0511413094646	0.0568738635021	0.0646811752023	0.107498775313	0.073822297556	0.032328812643	0.0188223004001	0.0437906038524	0.0361543265418	0.0395174495879	0.0346591494836	0.0433708025122	0.0591078974711	0.111526804536	0.0669162812275	0.0313761368243	0.029934106964
airlines russia shell year air airline companies company million world	0.0152160079467	0.0033353925399	0.0104866128616	0.014709768681	0.0180750740203	0.0215461861605	0.0211945677838	0.018673286727	0.0383208301262	0.0500223368304	0.0449098312345	0.0196182063932	0.020043908362	0.0110502353878	0.0231541323055	0.0166574721775	0.0182897796853	0.0593193944711	0.0490786610802	0.047157163168	0.0373537310629	0.0296838861645	0.0450259180757	0.028799502009	0.0384827588148	0.0194937363095	0.0250954006944	0.0393669346386	0.0501489083657	0.0312401606548	0.0322080787932	0.0504453541664	0.0377889480487	0.0488561742048	0.044805457785	0.0463662508609	0.0633493510417	0.0540752294505	0.0747486184512	0.0632049166771	0.0936949742896	0.0704458606523	0.056488223092	0.0555209323281	0.0762021860128	0.0746194440972
bank central european debt euro mexico banks economic economy zone	0.00577100926165	0.00372451200137	0.01070365425	0.00658570332855	0.0227123672075	0.0174898527067	0.0236591877631	0.0233775220892	0.0237522732393	0.0193943587295	0.0265168279508	0.029383179412	0.0397241302105	0.0403057751261	0.0270531468255	0.0416059426975	0.0521498011581	0.034955064112	0.0257731004037	0.0410793088878	0.0197656095347	0.0167797803362	0.0447025803685	0.0217914180026	0.0161610641854	0.0246494763751	0.00866322262945	0.0203512538098	0.047935830091	0.031040593247	0.0335711385219	0.0357896630387	0.0306448731706	0.0306411617169	0.0224521247617	0.027077339523	0.0313955668004	0.0281266160574	0.0350808500289	0.0325124393482	0.0485108530397	0.0527523330601	0.0460689745704	0.0440568734423	0.0682315087338	0.0869632090952
president venezuela tax government russia putin budget country russian year	0.0019433722545	0.0550756035135	0.0159665300355	0.0329726216048	0.0228641388565	0.0259019956179	0.0350738663222	0.0356960969119	0.0258213908227	0.0339125379656	0.0384225225028	0.0387000396094	0.0552552710992	0.0336323336502	0.0341986162418	0.0303143192202	0.0269709671735	0.044826092301	0.0306590728295	0.0272114846996	0.0229290300997	0.0133341487561	0.044046325063	0.0340631074511	0.0220131525302	0.0138773014827	0.0222510228385	0.0201144991728	0.0559379433755	0.0522391760225	0.0678758415846	0.0496647744096	0.0830029477366	0.0566227950277	0.0589671329266	0.0409562640644	0.0545696834849	0.0663463607965	0.0468250380712	0.054398477544	0.0432516899114	0.0487588707486	0.0734464592886	0.0879453653708	0.0621939869793	0.0537302279288
crude gasoline barrel heating cents energy fuel gas york yesterday	0.115824790586	0.0462469873603	0.0544532446019	0.131310495314	0.0490535220577	0.0486027316521	0.0489547675883	0.0574467124998	0.0347750959641	0.0588618132268	0.0811777728697	0.0831291229802	0.0640826771814	0.0629715962013	0.079602426791	0.073079200319	0.0530748984338	0.0472052384949	0.0510613186323	0.068828354301	0.0659217105305	0.0961974870027	0.0837183061218	0.106187312082	0.148171072371	0.23755298144	0.264721197137	0.183531782848	0.0674194223893	0.0797388159702	0.114228543808	0.0609249143368	0.0918752686589	0.08551026985	0.0893677348405	0.0946469607621	0.0386617208135	0.0545214259412	0.059759697801	0.0368154975441	0.0412864020755	0.043137991089	0.0391059490589	0.02334248436	0.0556320817758	0.0372287779255
president tax economy mr year company economic chief energy house	0.0151608397394	0.01196994402	0.0171369103123	0.0457553649457	0.0395354059659	0.059991812753	0.0704674482756	0.0952983589264	0.0494487429993	0.0938554856141	0.08185998565	0.115641677841	0.0660333966955	0.0766047948738	0.0763547684132	0.066494769234	0.0840268683199	0.0359336469502	0.0409719372087	0.0455488400584	0.0600256175933	0.0780304988347	0.0638528938641	0.056290810329	0.0666610135984	0.0294795032791	0.0284164215852	0.0234511151059	0.0579842620217	0.0633841482383	0.079756810615	0.0852516677224	0.0609137559128	0.0669356885903	0.0681782870612	0.0871225704681	0.0699917008994	0.0569691454932	0.0673892376191	0.0391699162868	0.0584772957077	0.0506083733639	0.0527386836841	0.0273570515967	0.0253913788556	0.0240992913546
russia company world banks russian year country china ruble million	0.00287857492825	0.032301319702	0.00221135437534	0.00671973260632	0.0120706391132	0.0108601508846	0.0121002770364	0.0160406533258	0.0117476072244	0.0106133832395	0.0130431254173	0.0156879888045	0.00890458403783	0.0135884788925	0.00914791232878	0.0150486498025	0.0126810690009	0.0208234938306	0.0149782228219	0.00705484322766	0.0148660312186	0.00778942183236	0.0150462281788	0.00916122217754	0.00690888036555	0.0242424690705	0.0178271044134	0.0117900551439	0.022310289712	0.00930009709929	0.0153547931819	0.00982867987493	0.00837432430345	0.0116446947959	0.00931770399878	0.0146808233358	0.0157963867313	0.0229758039705	0.0330354548713	0.0324947229493	0.0257823207681	0.0188978602126	0.0285764697081	0.013057051894	0.0205293412625	0.016049779764
news summary international events national major index metropolitan soviet party	0.0114361840224	0.01035243481	0.0212450412365	0.0409860956817	0.0483465287178	0.0561827106732	0.0502644966803	0.0455299408479	0.0225580219307	0.0315267079104	0.0292155840901	0.0138956602014	0.0111585638136	0.0102355180684	0.00922277824059	0.00717202272072	0.00880284887026	0.0276020942409	0.0190636588504	0.012396183847	0.0222818061474	0.0133391158154	0.0158096488787	0.00898587277115	0.00615533010011	0.00176630636637	0.0127580154631	0.00996650993362	0.0139062429157	0.00722893618991	0.0104333333458	0.00835313686401	0.017625680218	0.00590182149366	0.0116590331072	0.00919841610117	0.0120400074474	0.0220234872743	0.0378824067259	0.0255084023263	0.0252362398619	0.0274656799542	0.0261815708544	0.014535996493	0.0102639198659	0.0126108178729
iran state iranian south american nuclear companies foreign states officials	0.0315043588127	0.0308757159065	0.011753426267	0.0188225940697	0.0223072383579	0.0202299352398	0.0188048126496	0.0268732963233	0.0304693594476	0.0288835943435	0.0168532404688	0.0145666136267	0.0130196159896	0.0127456741108	0.00497164954223	0.0134928767421	0.0189034188768	0.0216866467777	0.0174845853957	0.014254596674	0.0162939971756	0.0115399850183	0.00989246090792	0.0143266223949	0.0141552190429	0.0106350119451	0.0128289519321	0.0105008396011	0.0139971887474	0.015436090618	0.0214951215723	0.0180984310006	0.0099652749546	0.0157145637202	0.00968220177392	0.0155527986169	0.0250924130397	0.0330812644	0.0312405758496	0.0257463788788	0.0251197003453	0.0281267253892	0.0355590332206	0.0333217263657	0.013859650765	0.0205093881687
energy gas natural power drilling companies industry coal company plant	0.0256363219704	0.0528561235802	0.087085839865	0.0618929140003	0.0502896487119	0.0542784761733	0.0460604552665	0.0668158183801	0.0546147836022	0.0579633831752	0.0568442082944	0.0507929718245	0.0794841804787	0.0573151647666	0.0453190752321	0.0433921316359	0.0283211535322	0.0332041081344	0.0450079251268	0.054377000265	0.0316086138085	0.0315146175045	0.0444721959902	0.0189649782088	0.0378946102683	0.0422732848391	0.0198606013929	0.0421182757962	0.047398624353	0.0427750012044	0.0412839294224	0.059754486695	0.0375218486093	0.0448096066404	0.0330722239593	0.0484925433343	0.0722433677888	0.0509068285872	0.0711323026759	0.0662573026847	0.107718070021	0.0853535450311	0.0908129325229	0.126631920881	0.0504029389663	0.0471534937434
