words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
iraq united saudi states iran arabia war nations international gulf	0.0621713638812	0.0885144852326	0.0968044914433	0.0806884343883	0.0903444767183	0.0642338164511	0.0811727814256	0.0947947994502	0.102307157853	0.0695245855265	0.0823223511917	0.0976809522535	0.0876867928332	0.06485919355	0.0666989556655	0.0453975079692	0.0609368712554	0.0686444514213	0.0570696582192	0.0493916433436	0.149569836987	0.139095559589	0.0606528050672	0.0480613183111	0.0583225934239	0.0435761668944	0.0971097524027	0.0677150986111	0.0807012493128	0.0908248879122	0.085806419258	0.0975761761024	0.151655811707	0.119998230465	0.0908639685754	0.0659525427486	0.0905419326733	0.0756022471962	0.0876785128713	0.083196044907	0.108351567618	0.0880862969103	0.131141604663	0.0835960779117	0.066043876253	0.0597340716294
stocks stock market dow points investors wall shares street index	0.0587291728366	0.0444602862627	0.0798893515764	0.0523726512505	0.0322916567263	0.0812024006219	0.0985157964139	0.0474801072976	0.0532671349644	0.0684440046995	0.052642972954	0.0564802857349	0.0474653939438	0.0874107263348	0.0606460723846	0.0734277231905	0.07264281593	0.0963723615866	0.0705746662938	0.058367408987	0.100058674928	0.0724821678048	0.0562156751549	0.119224334717	0.0639036089881	0.0901150781671	0.088260054579	0.176494914922	0.138780541082	0.111230537437	0.11751173441	0.091086267854	0.0923490352604	0.0835676710778	0.155928946561	0.160302859885	0.172702253946	0.199743265447	0.16142479603	0.212922873136	0.147248807995	0.133855660877	0.0990116945303	0.0930867133051	0.163544117267	0.114017152824
yesterday dollar rose year fell futures crude trade york trading	0.281501381274	0.188587900096	0.26664858255	0.0742108931873	0.0511724764656	0.0464582132863	0.0832725350811	0.0967939509843	0.104886315852	0.124028940741	0.0944731826314	0.113983781616	0.124937511035	0.135685204973	0.224847990226	0.239542518097	0.192931630571	0.215882983138	0.237346706539	0.244402467108	0.225431403948	0.228868625841	0.253975400666	0.316079754117	0.336180749082	0.419250382587	0.444139165555	0.327756014446	0.128517878769	0.161927289708	0.113754105635	0.0713815274149	0.103862728938	0.14202570417	0.1355214821	0.130965926964	0.0886466228057	0.100721549502	0.0889748576083	0.109946728671	0.0849439969213	0.0799730460489	0.0708527984838	0.0940359263648	0.0929408990285	0.104621969471
opec production crude petroleum countries barrel organization exporting output saudi	0.101524571544	0.0622311816178	0.0862854091829	0.110197791611	0.0614032733608	0.0659001321264	0.108564378271	0.100421289232	0.086082898408	0.0963545297072	0.155157067375	0.178736761549	0.163424706097	0.170765849709	0.172566167934	0.163437682781	0.108073397319	0.106239524341	0.141320578952	0.120079428488	0.0748291474429	0.0816803258009	0.0985810950667	0.121309350934	0.0689390324893	0.0425074908704	0.0528920104055	0.0434340987931	0.0815463356781	0.0822472536671	0.115084405952	0.166738193089	0.130817909694	0.131698869639	0.0823694888144	0.0590608363531	0.0534917988499	0.0513291787402	0.0524683601107	0.0424206039811	0.0409801165885	0.0719457528539	0.0542970953625	0.0718905530306	0.0913636486373	0.0718956961775
company million companies quarter year earnings profit industry gas corporation	0.0710550679522	0.0316892334891	0.114226615958	0.0621518478985	0.0472186962053	0.0586516479954	0.049447297237	0.0564828361427	0.0730080756754	0.0967671651925	0.10865761953	0.106909334171	0.176471127298	0.129743037189	0.158520586956	0.149398261262	0.172451386039	0.168044117705	0.178077305459	0.199805063178	0.132122852392	0.193373067386	0.174823928768	0.175726980136	0.256708189421	0.18844840377	0.129951525219	0.176053909762	0.243139019399	0.216461872022	0.138607809793	0.154505842544	0.116456744845	0.144799567538	0.173247295442	0.222373992852	0.199090287857	0.146169061631	0.151895130733	0.15457119618	0.203301858569	0.146381741599	0.146794200109	0.167495482298	0.118041982942	0.146649733246
economy rates growth inflation rate interest economic bank year federal	0.0316776363471	0.0207900588965	0.00935047644463	0.0347518861973	0.0393012486649	0.0394670826032	0.0529838276881	0.0328876500687	0.0645307176579	0.0682048566006	0.0745126382775	0.0578889560994	0.0619486031938	0.0544820004441	0.0692348615784	0.0609436697009	0.0857547146609	0.0805282780046	0.0780550302628	0.07528238973	0.0811484335186	0.0696385041508	0.0487552921823	0.0577930095734	0.0753657548865	0.050411707988	0.0546198368849	0.0646503501926	0.0788556078352	0.107575748973	0.0844930500807	0.0972684239412	0.134208044251	0.15230919658	0.149582937708	0.126815014168	0.131428879596	0.155405617089	0.108834491329	0.128056853156	0.0927129816292	0.127330457982	0.126915908505	0.128256699834	0.208083524575	0.261951323192
mr city president state texas people power bush york years	0.0399559884298	0.0221630870887	0.0116221279751	0.049910216349	0.0706734060276	0.0420701386752	0.0560788013495	0.0721483618896	0.0617670130422	0.0594760383502	0.0716564260589	0.0673689280771	0.0440650781466	0.0658468989467	0.0414840302888	0.0538683139068	0.0643751141517	0.0835791710946	0.0889912222694	0.0832072698014	0.0497143117525	0.0531119264121	0.072184925554	0.0498814330826	0.0480811533969	0.0598846873704	0.0437324922291	0.0429188288294	0.046812581964	0.0719535233191	0.111610047456	0.0777593520078	0.0902477869686	0.0612896603016	0.0658173436985	0.0824512656796	0.0771830804192	0.0721053681584	0.0901936373065	0.0554043997223	0.0639745999742	0.0753263472069	0.0643904442251	0.0886565717987	0.035681580423	0.0456949934285
energy tax gas president fuel house bill congress budget carter	0.194124814122	0.157475946297	0.0702881687901	0.189400054724	0.166636045257	0.25244817945	0.168124389535	0.232197848067	0.166595980891	0.226895807854	0.166243195075	0.171948180299	0.12196862185	0.131232761649	0.089856265902	0.0947417096354	0.081757423275	0.065039856771	0.0586837241128	0.0649822990799	0.0717183685183	0.062010957062	0.0794926037066	0.044154361902	0.0314277701769	0.0387995224887	0.0478397603804	0.0423674491411	0.0417582894739	0.0487250716528	0.131615167962	0.0914343386552	0.061647479174	0.0757350357385	0.0700901952104	0.0777772581136	0.0887668794161	0.0991732446499	0.130329783406	0.0817931398035	0.12163331489	0.128294686575	0.135480029546	0.0829225981106	0.0421465928838	0.0395087897351
countries nations world econ arab opec million govt indus cos	0.115595550407	0.358914466092	0.235961932877	0.302534192336	0.362255805602	0.297432041117	0.200151034147	0.174877650224	0.178621878469	0.103516821391	0.0695049187954	0.0244034679653	0.0361313142615	0.0261256995062	0.0180785408725	0.0238105325839	0.0179569303657	0.0268356111382	0.0268128321521	0.0162698432292	0.0196546037563	0.0141236773339	0.0150298687999	0.0147889654883	0.0233191141532	0.00995410241792	0.00646096163801	0.0182577988041	0.0225839594923	0.0173135059505	0.0157365630814	0.0195824578082	0.0145117624008	0.0200527109706	0.0191069672326	0.0166634647221	0.029487051688	0.0361283727873	0.0257283392896	0.0324763372652	0.0236953007445	0.0365686226373	0.0430083522708	0.0605488218152	0.0301827528946	0.0333078282099
economic world president russia economy government year mexico country bank	0.0436644532062	0.0251733549279	0.0289228432026	0.0437820320572	0.078702914972	0.052136347674	0.101689158853	0.0919155066444	0.108932827187	0.0867872499383	0.124829628112	0.124599352235	0.135900851342	0.133848627697	0.0980665281924	0.0954320808725	0.143119716432	0.0888336447997	0.0630682757396	0.0882121870547	0.0957523667567	0.0856151886198	0.140288405035	0.0529804917394	0.0377520339824	0.057052457446	0.0349944407058	0.0403515364982	0.137304536993	0.0917403093588	0.0857806963723	0.132667420584	0.104242696762	0.0685233535196	0.057471374658	0.0576368385137	0.0686612127487	0.0636220947989	0.102472091316	0.0992118231785	0.11315745507	0.11223738731	0.128107872304	0.129510555531	0.151971025095	0.122618442086
